rule_id,grant_id,project_id,reporting_period,rule_type,rule_name,parameter,value,severity_if_triggered,review_question,notes
GRR-001,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,reporting_deadline,Reporting period close date,period_end_date,2026-03-31,INFO,Is the expense assigned to the correct reporting period?,Defines the close date for the reporting period.
GRR-002,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,deadline_window,Deadline-sensitive expense window,days_before_period_end,7,MEDIUM,Was the expense submitted near the reporting deadline for a documented operational reason?,Expenses submitted within this window should be reviewed for completeness and timing justification.
GRR-003,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,documentation,Invoice required by default,requires_invoice,true,HIGH,Is a valid invoice or equivalent accounting document attached?,A missing invoice or equivalent document requires human review before accepting the expense.
GRR-004,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,documentation,Activity reference required by default,requires_activity_reference,true,MEDIUM,Is the expense linked to a real project activity or output?,A missing activity reference weakens donor reporting traceability.
GRR-005,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,documentation,Contract required for contracted services,contract_required_categories,consulting;legal_services;software_services;it_services;hosting_services;international_travel,HIGH,Is there a contract or equivalent authorization for this expense category?,Contracted service and travel expenses require clear authorization evidence.
GRR-006,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,cash_control,Cash reimbursement documentation rule,cash_reimbursement_requires_complete_documents,true,HIGH,Is the cash reimbursement supported by complete participant or recipient documentation?,Cash reimbursement is allowed only when the relevant budget line permits it and documentation is complete.
GRR-007,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,category_control,Expense category must match budget line,category_must_match_budget_line,true,HIGH,Is this expense category allowed under the selected budget line?,A category mismatch does not prove wrongdoing but requires contextual review.
GRR-008,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,supplier_control,Known supplier profile required,known_supplier_required,true,MEDIUM,Does the expense supplier have a profile in the grant review dataset?,Unknown suppliers require identity and role verification.
GRR-009,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,amount_pattern,Repeated round-value expenses,round_value_repeat_threshold,2,MEDIUM,Are repeated round-value expenses supported by real cost breakdowns?,Repeated round values may be legitimate but should be reviewed for documentation quality.
GRR-010,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,amount_pattern,Large expense threshold,large_expense_amount_threshold,10000.00,HIGH,Is the large expense supported by contract invoice activity evidence and budget justification?,Large expenses require stronger documentation and review traceability.
GRR-011,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,budget_control,Budget line overspend review threshold,budget_line_usage_warning_ratio,0.85,MEDIUM,Is the budget line approaching its approved limit and is the spending justified?,Crossing the warning ratio should trigger a budget usage review.
GRR-012,GRANT-BBS-2026-001,PRJ-LEO-001,2026-Q1,boundary,No fraud verdict boundary,forbidden_verdict_language,fraud;corruption;illegal;guilty;punished;blocked,CRITICAL,Does the generated report avoid prohibited verdict language?,LEO may generate review signals only and must not issue fraud legal or enforcement conclusions.
